VOLUME_GB,VALOR_UD,PROJETO,TIPO_PROCESSAMENTO,PONTOS_PROCESSAMENTO,PUBLICIDADE,PROGRAMA,TIPO_PROGRAMA,TECNOLOGIA,INICIO,TERMINO,IDADE,DATA_PUBLICIDADE,BLOCO,CAMPO,BACIA,CLASS_BACIA,EAD,OPERADORA
0.007329,1,0314_2D_SEAL_PEIXE_BOI_POSTSTM_VEL,MIG VEL,,Publico,0314_2D_SEAL_PEIXE_BOI,Exclusivo,Sismica 2D,20/12/2014,27/12/2014,9,27/12/2019,multiplos, ,Alagoas,6,ANDL,G3 oleo e Gas
0.007329,1,0314_2D_SEAL_PEIXE_BOI_PSTM_VEL,MIG VEL,,Publico,0314_2D_SEAL_PEIXE_BOI,Exclusivo,Sismica 2D,20/12/2014,27/12/2014,9,27/12/2019,multiplos, ,Alagoas,6,ANDL,G3 oleo e Gas
0.179764,1,0314_3D_ES_T_400,PSTM,3.75,Publico,0314_3D_ES_T_400,Exclusivo,Sismica 3D,01/05/2012,30/05/2012,11,30/05/2017,ES-T-400, ,Espirito Santo,6,ANDL,Cowan Petroleo e Gas
1.156.216.815,1,0314_3D_ES_T_400_RM17,Field Data,0,Publico,0314_3D_ES_T_400,Exclusivo,Sismica 3D,01/05/2012,30/05/2012,11,30/05/2017,ES-T-400, ,Espirito Santo,6,ANDL,Cowan Petroleo e Gas
0.1765336,1,0314_3D_FSE_WPETROLEO_PSTM,PSTM,3.75,Publico,0314_3D_FSE_WPETROLEO,Exclusivo,Sismica 3D,20/10/2011,11/12/2011,12,11/12/2016, ,FAZENDA SANTO ESTEVaO,Reconcavo,6,ANDL,Nova Petroleo Rec
, ,0314_3D_FSE_WPETROLEO,Field Data,0,Publico,0314_3D_FSE_WPETROLEO,Exclusivo,Sismica 3D,20/10/2011,11/12/2011,12,11/12/2016, ,FAZENDA SANTO ESTEVaO,Reconcavo,6,ANDL,Nova Petroleo Rec
0.127791815,1,0314_3D_REC_T_158,MIG PSTM,1.5,Publico,0314_3D_REC_T_158,Exclusivo,Sismica 3D,10/02/2011,07/03/2011,12,07/03/2016,REC-T-158, ,Reconcavo,6,ANDL,Cowan Petroleo e Gas
4.559.851.227,1,0314_3D_REC_T_158_RM17,Field Data,0,Publico,0314_3D_REC_T_158,Exclusivo,Sismica 3D,10/02/2011,07/03/2011,12,07/03/2016,REC-T-158, ,Reconcavo,6,ANDL,Cowan Petroleo e Gas
0.2269919,1,0314_3D_REC_T_163,PSTM,3.75,Publico,0314_3D_REC_T_163,Exclusivo,Sismica 3D,02/11/2011,11/12/2011,12,11/12/2016,REC-T-163, ,Reconcavo,6,ANDL,Imetame
, ,0314_3D_REC_T_163,Field Data,0,Publico,0314_3D_REC_T_163,Exclusivo,Sismica 3D,02/11/2011,11/12/2011,12,11/12/2016,REC-T-163, ,Reconcavo,6,ANDL,Imetame
4.248.909.058,1,0314_3D_REC_T_210_RM17,Field Data,0,Publico,0314_3D_REC_T_210,Exclusivo,Sismica 3D,21/03/2011,28/06/2011,12,28/06/2016,REC-T-210, ,Reconcavo,6,ANDL,Imetame
0.2945094,1,0314_3D_RIOP_T_21_30_31,MIG PSTM,1.5,Publico,0314_3D_RIOP_T_21_30_31,Exclusivo,Sismica 3D,01/03/2011,03/05/2011,12,03/05/2016,multiplos, ,Rio do Peixe,8.5,ANDL,Ral Engenharia
0.1389221,1,0314_3D_RIOP_T_55_56,MIG PSTM,1.5,Publico,0314_3D_RIOP_T_55_56,Exclusivo,Sismica 3D,28/12/2010,30/05/2011,12,30/05/2016,multiplos, ,Rio do Peixe,8.5,ANDL,Ral Engenharia
0.3520433,1,0314_3D_SEAL_T_187,MIG PSTM,1.5,Publico,0314_3D_SEAL_T_187,Exclusivo,Sismica 3D,06/02/2012,01/03/2012,11,01/03/2017,SEAL-T-187, ,Alagoas,6,ANDL,Integral
5.500.051.338,1,0314_3D_SEAL_T_187_RM17,Field Data,0,Publico,0314_3D_SEAL_T_187,Exclusivo,Sismica 3D,06/02/2012,01/03/2012,11,01/03/2017,SEAL-T-187, ,Alagoas,6,ANDL,Integral
0.980212,1,0314_3D_SEAL_T_44_50_51_56,PSTM,3.75,Publico,0314_3D_SEAL_T_44_50_51_56,Exclusivo,Sismica 3D,15/02/2015,13/04/2015,8,13/04/2020,multiplos, ,Alagoas,6,ANDL,G3 oleo e Gas
0.980212,1,0314_3D_SEAL_T_44_50_51_56,POST-STM,2.5,Publico,0314_3D_SEAL_T_44_50_51_56,Exclusivo,Sismica 3D,15/02/2015,13/04/2015,8,13/04/2020,multiplos, ,Alagoas,6,ANDL,G3 oleo e Gas
8.417.077.194,1,0314_3D_SEAL_T_44_50_51_56,Field Data,0,Publico,0314_3D_SEAL_T_44_50_51_56,Exclusivo,Sismica 3D,15/02/2015,13/04/2015,8,13/04/2020,multiplos, ,Alagoas,6,ANDL,G3 oleo e Gas
0.383791,1,0314_3D_SEAL_T_72_78_PSTM,PSTM,3.75,Publico,0314_3D_SEAL_T_72_78,Exclusivo,Sismica 3D,18/01/2015,01/02/2015,8,01/02/2020,multiplos, ,Alagoas,6,ANDL,G3 oleo e Gas
0.383791,1,0314_3D_SEAL_T_72_78,POST-STM,2.5,Publico,0314_3D_SEAL_T_72_78,Exclusivo,Sismica 3D,18/01/2015,01/02/2015,8,01/02/2020,multiplos, ,Alagoas,6,ANDL,G3 oleo e Gas
6.288.935.276,1,0314_3D_SEAL_T_72_78,Field Data,0,Publico,0314_3D_SEAL_T_72_78,Exclusivo,Sismica 3D,18/01/2015,01/02/2015,8,01/02/2020,multiplos, ,Alagoas,6,ANDL,G3 oleo e Gas
1.791.491.194,1,0314_VIBRO2D_ANP_PARANA,PSTM,3.75,Publico,0314_VIBRO2D_ANP_PARANA,de Fomento,Sismica 2D,22/09/2013,12/02/2015,8,22/09/2013, , ,Parana,10,ANDL,
1.791.491.194,1,0314_VIBRO2D_ANP_PARANA,POST-STM,2.5,Publico,0314_VIBRO2D_ANP_PARANA,de Fomento,Sismica 2D,22/09/2013,12/02/2015,8,22/09/2013, , ,Parana,10,ANDL,
, ,0314_VIBRO2D_ANP_PARANA,Field Data,0,Publico,0314_VIBRO2D_ANP_PARANA,de Fomento,Sismica 2D,22/09/2013,12/02/2015,8,22/09/2013, , ,Parana,10,ANDL,
