VOLUME_GB,VALOR_UD,PROJETO,TIPO_PROCESSAMENTO,PUBLICIDADE,PROGRAMA,TIPO_PROGRAMA,TECNOLOGIA,INICIO,TERMINO,IDADE,DATA_PUBLICIDADE,BLOCO,CAMPO,BACIA,EAD,OPERADORA,PONTOS_BACIA,PONTOS_PROC,PONTOS_TEC,PONTOS_TIME
,,0026_3D_CANUDOS_RM14,Field Data,Publico,0026_3D_CANUDOS,Exclusivo,Sismica 3D,06/03/2002,16/06/2002,21,16/06/2007,BT-POT-4, ,Potiguar,Petrobras,Petrobras,1,1,1,-0.3
81.09291895,1,0026_3D_CANUDOS_RM17,Field Data,Publico,0026_3D_CANUDOS,Exclusivo,Sismica 3D,06/03/2002,16/06/2002,21,16/06/2007,BT-POT-4, ,Potiguar,Petrobras,Petrobras,1,1,1,-0.3
0.7848834,1,0026_3D_CANUDOS,MIG FIN,Publico,0026_3D_CANUDOS,Exclusivo,Sismica 3D,06/03/2002,16/06/2002,21,16/06/2007,BT-POT-4, ,Potiguar,Petrobras,Petrobras,1,0.7,1,-0.3
6.96918689,1,0026_3D_CER_ROU_RM17,Field Data,Publico,0026_3D_CER_ROU,Exclusivo,Sismica 3D,25/09/2002,16/10/2002,21,16/10/2007, ,multiplos,Reconcavo,Petrobras,Petrobras,0.37,1,1,-0.3
0.2325538,1,0026_3D_CER_ROU,MIG FIN,Publico,0026_3D_CER_ROU,Exclusivo,Sismica 3D,25/09/2002,16/10/2002,21,16/10/2007, ,multiplos,Reconcavo,Petrobras,Petrobras,0.37,0.7,1,-0.3
,,0026_3D_CORREGO_DAS_PEDRAS,Field Data,Publico,0026_3D_CORREGO_DAS_PEDRAS,Exclusivo,Sismica 3D,16/08/2002,19/09/2002,21,19/09/2007,BT-ES-12,CoRREGO DAS PEDRAS,Espirito Santo,Petrobras,Petrobras,0.55,1,1,-0.3
12.26565015,1,0026_3D_CORREGO_DAS_PEDRAS_RM17,Field Data,Publico,0026_3D_CORREGO_DAS_PEDRAS,Exclusivo,Sismica 3D,16/08/2002,19/09/2002,21,19/09/2007,BT-ES-12,CoRREGO DAS PEDRAS,Espirito Santo,Petrobras,Petrobras,0.55,1,1,-0.3
0.2622313,1,0026_3D_CORREGO_DAS_PEDRAS,MIG FIN,Publico,0026_3D_CORREGO_DAS_PEDRAS,Exclusivo,Sismica 3D,16/08/2002,19/09/2002,21,19/09/2007,BT-ES-12,CoRREGO DAS PEDRAS,Espirito Santo,Petrobras,Petrobras,0.55,0.7,1,-0.3
,,0026_3D_CP_EMBASAMENTO_RM14,Field Data,Publico,0026_3D_CP_EMBASAMENTO,Exclusivo,Sismica 3D,31/01/2008,17/09/2008,15,17/09/2013,multiplos,multiplos,Sergipe,Petrobras,Petrobras,1,1,1,-0.3
56.42393826,1,0026_3D_CP_EMBASAMENTO_RM17,Field Data,Publico,0026_3D_CP_EMBASAMENTO,Exclusivo,Sismica 3D,31/01/2008,17/09/2008,15,17/09/2013,multiplos,multiplos,Sergipe,Petrobras,Petrobras,1,1,1,-0.3
2.7489705,1,0026_3D_CP_EMBASAMENTO,PSTM,Publico,0026_3D_CP_EMBASAMENTO,Exclusivo,Sismica 3D,31/01/2008,17/09/2008,15,17/09/2013,multiplos,multiplos,Sergipe,Petrobras,Petrobras,1,-0.5,1,-0.3
26.39342603,1,0026_3D_DE_PALMEIRA_RM16,Field Data,Publico,0026_3D_DE_PALMEIRA,Exclusivo,Sismica 3D,20/06/2002,21/07/2002,21,21/07/2007, ,FAZENDA POCINHO,Potiguar,Petrobras,Petrobras,1,1,1,-0.3
0.762714,1,0026_3D_DE_PALMEIRA,MIG FIN,Publico,0026_3D_DE_PALMEIRA,Exclusivo,Sismica 3D,20/06/2002,21/07/2002,21,21/07/2007, ,FAZENDA POCINHO,Potiguar,Petrobras,Petrobras,1,0.7,1,-0.3
59.03211572,1,0026_3D_FALHA_LESTE_SAO_MIGUEL_RM16,Field Data,Publico,0026_3D_FALHA_LESTE_SAO_MIGUEL,Exclusivo,Sismica 3D,19/06/2001,16/10/2001,22,16/10/2006,BT-SEAL-2,multiplos,Sergipe,Petrobras,Petrobras,1,1,1,-0.3
0.9018019,1,0026_3D_FALHA_LESTE_SAO_MIGUEL,MIG FIN,Publico,0026_3D_FALHA_LESTE_SAO_MIGUEL,Exclusivo,Sismica 3D,19/06/2001,16/10/2001,22,16/10/2006,BT-SEAL-2,multiplos,Sergipe,Petrobras,Petrobras,1,0.7,1,-0.3
,,0026_3D_FAZ_CANAAA_RELOAD,Field Data,Publico,0026_3D_FAZENDA_CANAA,Exclusivo,Sismica 3D,03/06/2003,26/08/2003,20,26/08/2008,BT-POT-4,FAZENDA CANAAN,Potiguar,Petrobras,Petrobras,1,1,1,-0.3
76.98560107,1,0026_3D_FAZENDA_CANAA_RM16,Field Data,Publico,0026_3D_FAZENDA_CANAA,Exclusivo,Sismica 3D,03/06/2003,26/08/2003,20,26/08/2008,BT-POT-4,FAZENDA CANAAN,Potiguar,Petrobras,Petrobras,1,1,1,-0.3
1.1392704,1,0026_3D_FAZENDA_CANAA,MIG FIN,Publico,0026_3D_FAZENDA_CANAA,Exclusivo,Sismica 3D,03/06/2003,26/08/2003,20,26/08/2008,BT-POT-4,FAZENDA CANAAN,Potiguar,Petrobras,Petrobras,1,0.7,1,-0.3
33.54078174,1,0026_3D_FAZENDA_CURRAL_RM17,Field Data,Publico,0026_3D_FAZENDA_CURRAL,Exclusivo,Sismica 3D,05/04/2003,31/05/2003,20,31/05/2008,BT-POT-4,FAZENDA CURRAL,Potiguar,Petrobras,Petrobras,1,1,1,-0.3
0.8199066,1,0026_3D_FAZENDA_CURRAL,MIG FIN,Publico,0026_3D_FAZENDA_CURRAL,Exclusivo,Sismica 3D,05/04/2003,31/05/2003,20,31/05/2008,BT-POT-4,FAZENDA CURRAL,Potiguar,Petrobras,Petrobras,1,0.7,1,-0.3
,,0026_3D_FAZENDA_QUEIMADAS,Field Data,Publico,0026_3D_FAZENDA_QUEIMADAS,Exclusivo,Sismica 3D,20/05/2013,25/07/2013,10,25/07/2018, ,multiplos,Espirito Santo,Petrobras,Petrobras,0.55,1,1,0.6
2.4545463,1,0026_3D_FAZENDA_QUEIMADAS_POST,POST-STM,Publico,0026_3D_FAZENDA_QUEIMADAS,Exclusivo,Sismica 3D,20/05/2013,25/07/2013,10,25/07/2018, ,multiplos,Espirito Santo,Petrobras,Petrobras,0.55,-0.1,1,0.6
,,0026_3D_FMQ_BAL,Field Data,Publico,0026_3D_FMQ_BAL,Exclusivo,Sismica 3D,25/07/2012,16/09/2012,11,16/09/2017,multiplos,multiplos,Potiguar,Geokinetics,Petrobras,1,1,1,-0.3
2.4659082,1,0026_3D_FMQ_BAL,PSTM,Publico,0026_3D_FMQ_BAL,Exclusivo,Sismica 3D,25/07/2012,16/09/2012,11,16/09/2017,multiplos,multiplos,Potiguar,Geokinetics,Petrobras,1,-0.5,1,-0.3
,,0026_3D_FURADO_ANAMBE,Field Data,Publico,0026_3D_FURADO_ANAMBE,Exclusivo,Sismica 3D,10/01/2012,05/03/2012,11,05/03/2017, ,multiplos,Alagoas,Geokinetics,Petrobras,0.55,1,1,-0.3
0.834834281,1,0026_3D_FURADO_ANAMBE_PSTM,PSTM,Publico,0026_3D_FURADO_ANAMBE,Exclusivo,Sismica 3D,10/01/2012,05/03/2012,11,05/03/2017, ,multiplos,Alagoas,Geokinetics,Petrobras,0.55,-0.5,1,-0.3
